time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1850.75,296,'C115',512.4814,110.3714,5.8090,179.3685,5.6283,0.0000,0.0000,299.8016,4.6602,0.0000,0.0000,299.8016,4.6602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6623,0.1036,0.0000,0.0000,26.6490,0.4142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.8256,1.3008,0.0000,0.0000,7.9503,0.4598,0.0000,0.0000,179.3685,5.6283,0.0000,0.0000,299.8016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1006,0.2905,0.0000,0.0000,80.4753,1.7843,0.0000,0.0000,2.7691,0.0613,0.0000,0.0000,17.0103,0.3766,0.0000,0.0000
1851.75,296,'C115',523.5679,113.7497,5.9868,183.2487,5.7342,0.0000,0.0000,306.2872,4.7479,0.0000,0.0000,306.2872,4.7479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8064,0.1055,0.0000,0.0000,27.2255,0.4220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0521,1.0667,0.0000,0.0000,6.2842,0.7292,0.0000,0.0000,183.2487,5.7342,0.0000,0.0000,306.2872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5218,0.3005,0.0000,0.0000,83.0625,1.8458,0.0000,0.0000,2.8311,0.0629,0.0000,0.0000,17.3912,0.3865,0.0000,0.0000
1852.75,296,'C115',453.4083,102.1329,5.3754,152.3300,5.0679,0.0000,0.0000,270.9704,4.3773,0.0000,0.0000,270.9704,4.3773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0216,0.0973,0.0000,0.0000,24.0863,0.3891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.3384,9.6907,0.0000,0.0000,1.9183,0.3155,0.0000,0.0000,152.3300,5.0679,0.0000,0.0000,270.9704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9887,0.2664,0.0000,0.0000,73.6447,1.6365,0.0000,0.0000,2.6752,0.0594,0.0000,0.0000,16.4335,0.3652,0.0000,0.0000
1853.75,296,'C115',443.8988,115.8664,6.0982,122.2866,4.5215,0.0000,0.0000,289.4510,4.7373,0.0000,0.0000,289.4510,4.7373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4322,0.1053,0.0000,0.0000,25.7290,0.4211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0444,10.4965,0.0000,0.0000,4.4161,0.7071,0.0000,0.0000,122.2866,4.5215,0.0000,0.0000,289.4510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1989,0.2933,0.0000,0.0000,81.0788,1.8017,0.0000,0.0000,3.3911,0.0754,0.0000,0.0000,20.8309,0.4629,0.0000,0.0000
1854.75,296,'C115',509.7911,112.5242,5.9223,160.8070,5.3437,0.0000,0.0000,314.0857,4.9173,0.0000,0.0000,314.0857,4.9173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.9797,0.1093,0.0000,0.0000,27.9187,0.4371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8058,27.6752,0.0000,0.0000,2.9600,0.4600,0.0000,0.0000,160.8070,5.3437,0.0000,0.0000,314.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.2098,0.2936,0.0000,0.0000,81.1459,1.8032,0.0000,0.0000,2.9558,0.0657,0.0000,0.0000,18.1569,0.4035,0.0000,0.0000
1855.75,296,'C115',485.7444,117.8012,6.2001,165.7216,5.3640,0.0000,0.0000,288.0205,4.5606,0.0000,0.0000,288.0205,4.5606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4005,0.1013,0.0000,0.0000,25.6018,0.4054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3204,5.9793,0.0000,0.0000,3.1459,0.4553,0.0000,0.0000,165.7216,5.3640,0.0000,0.0000,288.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3702,0.2971,0.0000,0.0000,82.1313,1.8251,0.0000,0.0000,3.4993,0.0778,0.0000,0.0000,21.4957,0.4777,0.0000,0.0000
1856.75,296,'C115',395.6012,97.3006,5.1211,125.9398,4.4952,0.0000,0.0000,242.6952,4.0990,0.0000,0.0000,242.6952,4.0990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3932,0.0911,0.0000,0.0000,21.5729,0.3644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.4957,13.7006,0.0000,0.0000,7.5908,1.1054,0.0000,0.0000,125.9398,4.4952,0.0000,0.0000,242.6952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3658,0.2526,0.0000,0.0000,69.8186,1.5515,0.0000,0.0000,2.5982,0.0577,0.0000,0.0000,15.9602,0.3547,0.0000,0.0000
1857.75,296,'C115',475.1132,109.3161,5.7535,149.1799,5.0642,0.0000,0.0000,293.3399,4.6814,0.0000,0.0000,293.3399,4.6814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5187,0.1040,0.0000,0.0000,26.0747,0.4161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0159,8.8841,0.0000,0.0000,6.8921,1.0363,0.0000,0.0000,149.1799,5.0642,0.0000,0.0000,293.3399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8788,0.2862,0.0000,0.0000,79.1124,1.7581,0.0000,0.0000,2.8230,0.0627,0.0000,0.0000,17.3414,0.3854,0.0000,0.0000
1858.75,296,'C115',537.2205,107.4765,5.6567,181.1703,5.7356,0.0000,0.0000,320.4452,4.9349,0.0000,0.0000,320.4452,4.9349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1210,0.1097,0.0000,0.0000,28.4840,0.4387,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9689,9.4966,0.0000,0.0000,0.9258,0.1479,0.0000,0.0000,181.1703,5.7356,0.0000,0.0000,320.4452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8245,0.2850,0.0000,0.0000,78.7790,1.7506,0.0000,0.0000,2.6367,0.0586,0.0000,0.0000,16.1971,0.3599,0.0000,0.0000
1859.75,296,'C115',511.4828,120.8538,6.3607,178.5300,5.6267,0.0000,0.0000,299.6575,4.6722,0.0000,0.0000,299.6575,4.6722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6591,0.1038,0.0000,0.0000,26.6362,0.4153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9631,10.5714,0.0000,0.0000,1.8395,0.2534,0.0000,0.0000,178.5300,5.6267,0.0000,0.0000,299.6575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.7188,0.3049,0.0000,0.0000,84.2726,1.8727,0.0000,0.0000,3.5821,0.0796,0.0000,0.0000,22.0042,0.4890,0.0000,0.0000
