"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1940",NA,NA,"11.248","RothC","5_56","5","5","6"
"1941",NA,NA,"11.26415","RothC","5_56","5","5","6"
"1942",NA,NA,"10.98815","RothC","5_56","5","5","6"
"1943",NA,NA,"10.76825","RothC","5_56","5","5","6"
"1944",NA,NA,"10.50385","RothC","5_56","5","5","6"
"1945",NA,NA,"10.3219","RothC","5_56","5","5","6"
"1946",NA,NA,"10.1655","RothC","5_56","5","5","6"
"1947",NA,NA,"9.9906","RothC","5_56","5","5","6"
"1948",NA,NA,"9.8733","RothC","5_56","5","5","6"
"1949",NA,NA,"9.77295","RothC","5_56","5","5","6"
"1950",NA,NA,"9.68315","RothC","5_56","5","5","6"
"1951",NA,NA,"9.6052","RothC","5_56","5","5","6"
"1952",NA,NA,"9.5672","RothC","5_56","5","5","6"
"1953",NA,NA,"9.47745","RothC","5_56","5","5","6"
"1954",NA,NA,"9.3888","RothC","5_56","5","5","6"
"1955",NA,NA,"9.3205","RothC","5_56","5","5","6"
"1956",NA,NA,"9.2113","RothC","5_56","5","5","6"
"1957",NA,NA,"9.156","RothC","5_56","5","5","6"
"1958",NA,NA,"9.1156","RothC","5_56","5","5","6"
"1959",NA,NA,"9.05045","RothC","5_56","5","5","6"
"1960",NA,NA,"9.00805","RothC","5_56","5","5","6"
"1961",NA,NA,"8.87055","RothC","5_56","5","5","6"
"1962",NA,NA,"8.74635","RothC","5_56","5","5","6"
"1963",NA,NA,"8.63675","RothC","5_56","5","5","6"
"1964",NA,NA,"8.5257","RothC","5_56","5","5","6"
"1965",NA,NA,"8.41875","RothC","5_56","5","5","6"
"1966",NA,NA,"8.32835","RothC","5_56","5","5","6"
"1967",NA,NA,"8.2458","RothC","5_56","5","5","6"
"1968",NA,NA,"8.16325","RothC","5_56","5","5","6"
"1969",NA,NA,"8.076","RothC","5_56","5","5","6"
"1970",NA,NA,"7.99505","RothC","5_56","5","5","6"
"1971",NA,NA,"7.91985","RothC","5_56","5","5","6"
"1972",NA,NA,"7.8349","RothC","5_56","5","5","6"
"1973",NA,NA,"7.7664","RothC","5_56","5","5","6"
"1974",NA,NA,"7.6968","RothC","5_56","5","5","6"
"1975",NA,NA,"7.62825","RothC","5_56","5","5","6"
"1976",NA,NA,"7.56765","RothC","5_56","5","5","6"
"1977",NA,NA,"7.50635","RothC","5_56","5","5","6"
"1978",NA,NA,"7.452","RothC","5_56","5","5","6"
"1979",NA,NA,"7.39645","RothC","5_56","5","5","6"
"1980",NA,NA,"7.3425","RothC","5_56","5","5","6"
"1981",NA,NA,"7.2778","RothC","5_56","5","5","6"
"1982",NA,NA,"7.2234","RothC","5_56","5","5","6"
"1983",NA,NA,"7.16675","RothC","5_56","5","5","6"
"1984",NA,NA,"7.0974","RothC","5_56","5","5","6"
"1985",NA,NA,"7.03925","RothC","5_56","5","5","6"
"1986",NA,NA,"6.98615","RothC","5_56","5","5","6"
"1987",NA,NA,"6.92585","RothC","5_56","5","5","6"
"1988",NA,NA,"6.86845","RothC","5_56","5","5","6"
"1989",NA,NA,"6.81185","RothC","5_56","5","5","6"
"1990",NA,NA,"6.7572","RothC","5_56","5","5","6"
"1991",NA,NA,"6.70745","RothC","5_56","5","5","6"
"1992",NA,NA,"6.6492","RothC","5_56","5","5","6"
"1993",NA,NA,"6.5889","RothC","5_56","5","5","6"
"1994",NA,NA,"6.5391","RothC","5_56","5","5","6"
"1995",NA,NA,"6.4923","RothC","5_56","5","5","6"
"1996",NA,NA,"6.44195","RothC","5_56","5","5","6"
"1997",NA,NA,"6.38415","RothC","5_56","5","5","6"
"1998",NA,NA,"6.32985","RothC","5_56","5","5","6"
"1999",NA,NA,"6.2788","RothC","5_56","5","5","6"
"2000",NA,NA,"6.2168","RothC","5_56","5","5","6"
"2001",NA,NA,"6.1688","RothC","5_56","5","5","6"
"2002",NA,NA,"6.1185","RothC","5_56","5","5","6"
"2003",NA,NA,"6.15875","RothC","5_56","5","5","6"
"2004",NA,NA,"6.2048","RothC","5_56","5","5","6"
"2005",NA,NA,"6.25765","RothC","5_56","5","5","6"
"2006",NA,NA,"6.3675","RothC","5_56","5","5","6"
"2007",NA,NA,"6.28525","RothC","5_56","5","5","6"
"2008",NA,NA,"6.2452","RothC","5_56","5","5","6"
"2009",NA,NA,"6.24505","RothC","5_56","5","5","6"
"2010",NA,NA,"6.1925","RothC","5_56","5","5","6"
"2011",NA,NA,"6.2047","RothC","5_56","5","5","6"
"2012",NA,NA,"6.1486","RothC","5_56","5","5","6"
"2013",NA,NA,"6.19735","RothC","5_56","5","5","6"
"2014",NA,NA,"6.1673","RothC","5_56","5","5","6"
"2015",NA,NA,"6.22585","RothC","5_56","5","5","6"
"2016",NA,NA,"6.2123","RothC","5_56","5","5","6"
"2017",NA,NA,"6.2608","RothC","5_56","5","5","6"
